NAME                  CPUS  MEMORY_GB  ZONE
c2-standard-8         8     32.00      southamerica-east1-c
c2d-highcpu-112       112   224.00     southamerica-east1-c
c2d-highcpu-16        16    32.00      southamerica-east1-c
c2d-highcpu-2         2     4.00       southamerica-east1-c
c2d-highcpu-32        32    64.00      southamerica-east1-c
c2d-highcpu-4         4     8.00       southamerica-east1-c
c2d-highcpu-56        56    112.00     southamerica-east1-c
c2d-highcpu-8         8     16.00      southamerica-east1-c
c2d-highmem-112       112   896.00     southamerica-east1-c
c2d-highmem-16        16    128.00     southamerica-east1-c
c2d-highmem-2         2     16.00      southamerica-east1-c
c2d-highmem-32        32    256.00     southamerica-east1-c
c2d-highmem-4         4     32.00      southamerica-east1-c
c2d-highmem-56        56    448.00     southamerica-east1-c
c2d-highmem-8         8     64.00      southamerica-east1-c
c2d-standard-112      112   448.00     southamerica-east1-c
c2d-standard-16       16    64.00      southamerica-east1-c
c2d-standard-2        2     8.00       southamerica-east1-c
c2d-standard-32       32    128.00     southamerica-east1-c
c2d-standard-4        4     16.00      southamerica-east1-c
c2d-standard-56       56    224.00     southamerica-east1-c
c2d-standard-8        8     32.00      southamerica-east1-c
c3-standard-176-lssd  176   704.00     southamerica-east1-c
c3-standard-22-lssd   22    88.00      southamerica-east1-c
c3-standard-4-lssd    4     16.00      southamerica-east1-c
c3-standard-44-lssd   44    176.00     southamerica-east1-c
c3-standard-8-lssd    8     32.00      southamerica-east1-c
c3-standard-88-lssd   88    352.00     southamerica-east1-c
ct6e-standard-1t      44    176.00     southamerica-east1-c
ct6e-standard-4t      180   720.00     southamerica-east1-c
ct6e-standard-8t      360   1440.00    southamerica-east1-c
e2-highcpu-16         16    16.00      southamerica-east1-c
e2-highcpu-2          2     2.00       southamerica-east1-c
e2-highcpu-32         32    32.00      southamerica-east1-c
e2-highcpu-4          4     4.00       southamerica-east1-c
e2-highcpu-8          8     8.00       southamerica-east1-c
e2-highmem-16         16    128.00     southamerica-east1-c
e2-highmem-2          2     16.00      southamerica-east1-c
e2-highmem-4          4     32.00      southamerica-east1-c
e2-highmem-8          8     64.00      southamerica-east1-c
e2-medium             2     4.00       southamerica-east1-c
e2-micro              2     1.00       southamerica-east1-c
e2-small              2     2.00       southamerica-east1-c
e2-standard-16        16    64.00      southamerica-east1-c
e2-standard-2         2     8.00       southamerica-east1-c
e2-standard-32        32    128.00     southamerica-east1-c
e2-standard-4         4     16.00      southamerica-east1-c
e2-standard-8         8     32.00      southamerica-east1-c
f1-micro              1     0.60       southamerica-east1-c
g1-small              1     1.70       southamerica-east1-c
m1-megamem-96         96    1433.60    southamerica-east1-c
m1-ultramem-160       160   3844.00    southamerica-east1-c
m1-ultramem-40        40    961.00     southamerica-east1-c
m1-ultramem-80        80    1922.00    southamerica-east1-c
