NAME                         CPUS  MEMORY_GB  ZONE
c3d-standard-360             360   1440.00    us-east1-b
c3d-standard-360-lssd        360   1440.00    us-east1-b
c3d-standard-4               4     16.00      us-east1-b
c3d-standard-60              60    240.00     us-east1-b
c3d-standard-60-lssd         60    240.00     us-east1-b
c3d-standard-8               8     32.00      us-east1-b
c3d-standard-8-lssd          8     32.00      us-east1-b
c3d-standard-90              90    360.00     us-east1-b
c3d-standard-90-lssd         90    360.00     us-east1-b
c4-highcpu-16                16    32.00      us-east1-b
c4-highcpu-192               192   384.00     us-east1-b
c4-highcpu-2                 2     4.00       us-east1-b
c4-highcpu-24                24    48.00      us-east1-b
c4-highcpu-32                32    64.00      us-east1-b
c4-highcpu-4                 4     8.00       us-east1-b
c4-highcpu-48                48    96.00      us-east1-b
c4-highcpu-8                 8     16.00      us-east1-b
c4-highcpu-96                96    192.00     us-east1-b
c4-highmem-144               144   1116.00    us-east1-b
c4-highmem-16                16    124.00     us-east1-b
c4-highmem-192               192   1488.00    us-east1-b
c4-highmem-2                 2     15.00      us-east1-b
c4-highmem-24                24    186.00     us-east1-b
c4-highmem-288               288   2232.00    us-east1-b
c4-highmem-32                32    248.00     us-east1-b
c4-highmem-4                 4     31.00      us-east1-b
c4-highmem-48                48    372.00     us-east1-b
c4-highmem-8                 8     62.00      us-east1-b
c4-highmem-96                96    744.00     us-east1-b
c4-standard-16               16    60.00      us-east1-b
c4-standard-192              192   720.00     us-east1-b
c4-standard-2                2     7.00       us-east1-b
c4-standard-24               24    90.00      us-east1-b
c4-standard-32               32    120.00     us-east1-b
c4-standard-4                4     15.00      us-east1-b
c4-standard-48               48    180.00     us-east1-b
c4-standard-8                8     30.00      us-east1-b
c4-standard-96               96    360.00     us-east1-b
c4a-highcpu-1                1     2.00       us-east1-b
c4a-highcpu-16               16    32.00      us-east1-b
c4a-highcpu-2                2     4.00       us-east1-b
c4a-highcpu-32               32    64.00      us-east1-b
c4a-highcpu-4                4     8.00       us-east1-b
c4a-highcpu-48               48    96.00      us-east1-b
c4a-highcpu-64               64    128.00     us-east1-b
c4a-highcpu-72               72    144.00     us-east1-b
c4a-highcpu-8                8     16.00      us-east1-b
c4a-highmem-1                1     8.00       us-east1-b
c4a-highmem-16               16    128.00     us-east1-b
c4a-highmem-16-lssd          16    128.00     us-east1-b
c4a-highmem-2                2     16.00      us-east1-b
c4a-highmem-32               32    256.00     us-east1-b
c4a-highmem-32-lssd          32    256.00     us-east1-b
c4a-highmem-4                4     32.00      us-east1-b
c4a-highmem-4-lssd           4     32.00      us-east1-b
c4a-highmem-48               48    384.00     us-east1-b
c4a-highmem-48-lssd          48    384.00     us-east1-b
c4a-highmem-64               64    512.00     us-east1-b
c4a-highmem-64-lssd          64    512.00     us-east1-b
c4a-highmem-72               72    576.00     us-east1-b
c4a-highmem-72-lssd          72    576.00     us-east1-b
c4a-highmem-8                8     64.00      us-east1-b
c4a-highmem-8-lssd           8     64.00      us-east1-b
c4a-standard-1               1     4.00       us-east1-b
c4a-standard-16              16    64.00      us-east1-b
c4a-standard-16-lssd         16    64.00      us-east1-b
c4a-standard-2               2     8.00       us-east1-b
c4a-standard-32              32    128.00     us-east1-b
c4a-standard-32-lssd         32    128.00     us-east1-b
c4a-standard-4               4     16.00      us-east1-b
c4a-standard-4-lssd          4     16.00      us-east1-b
c4a-standard-48              48    192.00     us-east1-b
c4a-standard-48-lssd         48    192.00     us-east1-b
c4a-standard-64              64    256.00     us-east1-b
c4a-standard-64-lssd         64    256.00     us-east1-b
c4a-standard-72              72    288.00     us-east1-b
c4a-standard-72-lssd         72    288.00     us-east1-b
c4a-standard-8               8     32.00      us-east1-b
c4a-standard-8-lssd          8     32.00      us-east1-b
c4d-highcpu-16               16    30.00      us-east1-b
c4d-highcpu-192              192   360.00     us-east1-b
c4d-highcpu-2                2     3.00       us-east1-b
c4d-highcpu-32               32    60.00      us-east1-b
c4d-highcpu-384              384   720.00     us-east1-b
c4d-highcpu-4                4     7.00       us-east1-b
c4d-highcpu-48               48    90.00      us-east1-b
c4d-highcpu-64               64    120.00     us-east1-b
c4d-highcpu-8                8     15.00      us-east1-b
c4d-highcpu-96               96    180.00     us-east1-b
c4d-highmem-16               16    126.00     us-east1-b
c4d-highmem-16-lssd          16    126.00     us-east1-b
c4d-highmem-192              192   1512.00    us-east1-b
c4d-highmem-192-lssd         192   1512.00    us-east1-b
c4d-highmem-2                2     15.00      us-east1-b
c4d-highmem-32               32    252.00     us-east1-b
c4d-highmem-32-lssd          32    252.00     us-east1-b
c4d-highmem-384              384   3024.00    us-east1-b
c4d-highmem-384-lssd         384   3024.00    us-east1-b
c4d-highmem-4                4     31.00      us-east1-b
c4d-highmem-48               48    378.00     us-east1-b
c4d-highmem-48-lssd          48    378.00     us-east1-b
c4d-highmem-64               64    504.00     us-east1-b
c4d-highmem-64-lssd          64    504.00     us-east1-b
c4d-highmem-8                8     63.00      us-east1-b
c4d-highmem-8-lssd           8     63.00      us-east1-b
c4d-highmem-96               96    756.00     us-east1-b
c4d-highmem-96-lssd          96    756.00     us-east1-b
c4d-standard-16              16    62.00      us-east1-b
c4d-standard-16-lssd         16    62.00      us-east1-b
c4d-standard-192             192   744.00     us-east1-b
c4d-standard-192-lssd        192   744.00     us-east1-b
c4d-standard-2               2     7.00       us-east1-b
c4d-standard-32              32    124.00     us-east1-b
c4d-standard-32-lssd         32    124.00     us-east1-b
c4d-standard-384             384   1488.00    us-east1-b
c4d-standard-384-lssd        384   1488.00    us-east1-b
c4d-standard-4               4     15.00      us-east1-b
c4d-standard-48              48    186.00     us-east1-b
c4d-standard-48-lssd         48    186.00     us-east1-b
